Retailer,Title,Product,Price,SKU,Website
agjeans,Ezzra,TRUE BOYFRIEND,"₹22,300.00",VBS1C50BC18YPSO,/ezzra-VBS1C50BC18YPSO.html
agjeans,Farrah Skinny,HIGH-RISE SKINNY,"₹19,800.00",EMP1379TWIL,/farrah-skinny-EMP1379TWIL.html
agjeans,Mari,CORDUROY HIGH-RISE SLIM STRAIGHT,"₹21,300.00",HZC187501YSBL,/mari-HZC187501YSBL.html
agjeans,Farrah Skinny Ankle,HIGH-RISE SKINNY,"₹22,300.00",DBD1777LMGUNM,/farrah-skinny-ankle-DBD1777LMGUNM.html
agjeans,Saige,HIGH-RISE STRAIGHT,"₹19,800.00",JRN1A99EAST,/saige-JRN1A99EAST.html
agjeans,Mari,CORDUROY HIGH-RISE SLIM STRAIGHT,"₹19,800.00",EMP1875TWIL,/mari-EMP1875TWIL.html
agjeans,Farrah Skinny,HIGH-RISE SKINNY,"₹19,800.00",TVN1379MOIC,/farrah-skinny-TVN1379MOIC.html
agjeans,Haruko Skirt,VINTAGE A- LINE SKIRT,"₹19,600.00",BKS5570VNDSON,/haruko-skirt-BKS5570VNDSON.html
agjeans,Alexxis Slim,VINTAGE SLIM,"₹21,300.00",DSD1B7603YSBL,/alexxis-slim-DSD1B7603YSBL.html
agjeans,Alexxis Slim,VINTAGE SLIM,"₹21,300.00",DSD1B7603YARG,/alexxis-slim-DSD1B7603YARG.html
agjeans,Ex-Boyfriend Slim,SLOUCHY SLIM,"₹22,300.00",DAS157520YVOG,/ex-boyfriend-slim-DAS157520YVOG.html
agjeans,Farrah Skinny Ankle,HIGH-RISE SKINNY,"₹22,300.00",EMP1777TR16YLTH,/farrah-skinny-ankle-EMP1777TR16YLTH.html
agjeans,Alexxis,VINTAGE STRAIGHT,"₹24,300.00",VBS1C65BC18YPSO,/alexxis-VBS1C65BC18YPSO.html
agjeans,Ex-Boyfriend Slim,SLOUCHY SLIM,"₹19,800.00",LED1575SBOX,/ex-boyfriend-slim-LED1575SBOX.html
agjeans,Clove,RELAXED VINTAGE STRAIGHT,"₹23,300.00",SGD1C14BC21YPFO,/clove-SGD1C14BC21YPFO.html
agjeans,Alexxis Slim,VINTAGE SLIM,"₹19,800.00",LED1B76SBOX,/alexxis-slim-LED1B76SBOX.html
agjeans,Clove,RELAXED VINTAGE STRAIGHT,"₹21,300.00",BKS1C14BTDSON,/clove-BKS1C14BTDSON.html
agjeans,Alexxis,VINTAGE STRAIGHT,"₹21,300.00",BKS1979BTDSON,/alexxis-BKS1979BTDSON.html
agjeans,Alexxis Slim,VINTAGE SLIM,"₹22,300.00",VBS1B76BC18YPSO,/alexxis-slim-VBS1B76BC18YPSO.html
agjeans,Ezzra,TRUE BOYFRIEND,"₹21,800.00",BKS1C50BC28YCAW,/ezzra-BKS1C50BC28YCAW.html
agjeans,Ex-Boyfriend Slim,SLOUCHY SLIM,"₹24,300.00",LED1C66SWON,/ex-boyfriend-slim-LED1C66SWON.html
agjeans,Deven,HIGH-RISE ULTRA WIDE LEG,"₹23,300.00",SGD1B64RM17YWKE,/deven-SGD1B64RM17YWKE.html
agjeans,Farrah Skinny,HIGH-RISE SKINNY,"₹19,800.00",HSI1379FAVE,/farrah-skinny-HSI1379FAVE.html
agjeans,Prima Crop,CIGARETTE LEG,"₹22,300.00",PSI1557BT14YONG,/prima-crop-PSI1557BT14YONG.html
agjeans,Saige,HIGH-RISE STRAIGHT,"₹21,300.00",LED1A99BTMREY,/saige-LED1A99BTMREY.html
agjeans,Alexxis Boot,VINTAGE BOOT,"₹22,300.00",LED1B75VN17YWVW,/alexxis-boot-LED1B75VN17YWVW.html
agjeans,Legging Ankle,SUPER SKINNY ANKLE,"₹22,300.00",PSI1389BT14YONG,/legging-ankle-PSI1389BT14YONG.html
agjeans,Mari Crop,HIGH-RISE SLIM STRAIGHT,"₹20,800.00",RAS1A48SUNT,/mari-crop-RAS1A48SUNT.html
agjeans,Nikki Short,RELAXED SKINNY SHORT,"₹16,700.00",LED1604VNVYRD,/nikki-short-LED1604VNVYRD.html
