Retailer,Title,Product,Price,Available,SKU,Website
agjeans,Farrah Skinny,HIGH-RISE SKINNY,"19,900.00","['23', '24', '25', '26', '27', '28', '29', '30', '31', '32']",EMP1379TWIL,https://www.agjeans.com/farrah-skinny-EMP1379TWIL.html
agjeans,Ezzra,TRUE BOYFRIEND,"22,400.00","['23', '24', '25', '26', '27', '28', '29', '30', '31', '32', '33']",VBS1C50BC18YPSO,https://www.agjeans.com/ezzra-VBS1C50BC18YPSO.html
agjeans,Mari,CORDUROY HIGH-RISE SLIM STRAIGHT,"21,400.00","['23', '24', '25', '26', '27', '28', '29', '30', '31', '32', '33']",HZC187501YSBL,https://www.agjeans.com/mari-HZC187501YSBL.html
agjeans,Saige,HIGH-RISE STRAIGHT,"19,900.00","['22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '32', '33']",JRN1A99EAST,https://www.agjeans.com/saige-JRN1A99EAST.html
agjeans,Farrah Skinny Ankle,HIGH-RISE SKINNY,"22,400.00","['22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '32', '33']",DBD1777LMGUNM,https://www.agjeans.com/farrah-skinny-ankle-DBD1777LMGUNM.html
agjeans,Ex-Boyfriend Slim,SLOUCHY SLIM,"19,900.00","['23', '24', '25', '26', '27', '28', '29', '30', '31', '32']",LED1575SBOX,https://www.agjeans.com/ex-boyfriend-slim-LED1575SBOX.html
agjeans,Mari,CORDUROY HIGH-RISE SLIM STRAIGHT,"19,900.00","['23', '24', '25', '26', '27', '28', '29', '30', '31', '32']",EMP1875TWIL,https://www.agjeans.com/mari-EMP1875TWIL.html
agjeans,Farrah Skinny,HIGH-RISE SKINNY,"19,900.00","['23', '24', '25', '26', '27', '28', '29', '30', '31', '32']",TVN1379MOIC,https://www.agjeans.com/farrah-skinny-TVN1379MOIC.html
agjeans,Alexxis Slim,VINTAGE SLIM,"21,400.00","['23', '24', '25', '26', '27', '28', '29', '30', '31', '32']",DSD1B7603YARG,https://www.agjeans.com/alexxis-slim-DSD1B7603YARG.html
agjeans,Prima Ankle,CIGARETTE ANKLE,"20,900.00","['22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '32', '33']",RAS1855BTDSIR,https://www.agjeans.com/prima-ankle-RAS1855BTDSIR.html
agjeans,Haruko Skirt,VINTAGE A- LINE SKIRT,"19,700.00","['23', '24', '25', '26', '27', '28', '29', '30', '31', '32']",BKS5570VNDSON,https://www.agjeans.com/haruko-skirt-BKS5570VNDSON.html
agjeans,Mari,CORDUROY HIGH-RISE SLIM STRAIGHT,"22,400.00","['22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '32']",PSI187515YPIK,https://www.agjeans.com/mari-PSI187515YPIK.html
agjeans,Alexxis,VINTAGE STRAIGHT,"19,900.00","['23', '24', '25', '26', '27', '28', '29', '30', '31', '32', '33']",JRN1979EAST,https://www.agjeans.com/alexxis-JRN1979EAST.html
agjeans,Alexxis,VINTAGE STRAIGHT,"23,400.00","['22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '32']",SGD1979TR17YWKE,https://www.agjeans.com/alexxis-SGD1979TR17YWKE.html
agjeans,Clove,RELAXED VINTAGE STRAIGHT,"23,400.00","['23', '24', '25', '26', '27', '28', '29', '30', '31', '32', '33']",SGD1C14BC21YPFO,https://www.agjeans.com/clove-SGD1C14BC21YPFO.html
agjeans,Farrah Skinny Ankle,HIGH-RISE SKINNY,"22,400.00","['23', '24', '25', '26', '27', '28', '29', '30', '31', '32']",EMP1777TR16YLTH,https://www.agjeans.com/farrah-skinny-ankle-EMP1777TR16YLTH.html
agjeans,Ex-Boyfriend Slim,SLOUCHY SLIM,"22,400.00","['23', '24', '25', '26', '27', '28', '29', '30', '31', '32']",DAS157520YVOG,https://www.agjeans.com/ex-boyfriend-slim-DAS157520YVOG.html
agjeans,Alexxis Slim,VINTAGE SLIM,"21,400.00","['23', '24', '25', '26', '27', '28', '29', '30', '31', '32']",DSD1B7603YSBL,https://www.agjeans.com/alexxis-slim-DSD1B7603YSBL.html
agjeans,Alexxis,VINTAGE STRAIGHT,"24,400.00","['23', '24', '25', '26', '27', '28', '29', '30', '31', '32']",VBS1C65BC18YPSO,https://www.agjeans.com/alexxis-VBS1C65BC18YPSO.html
agjeans,Prima,CIGARETTE LEG,"19,900.00","['23', '24', '25', '26', '27', '28', '29', '30', '31', '32']",HSI1434EYLL,https://www.agjeans.com/prima-HSI1434EYLL.html
agjeans,Prima Ankle,CIGARETTE ANKLE,"19,900.00","['23', '24', '25', '26', '27', '28', '29', '30', '31', '32']",HSI1855EYLL,https://www.agjeans.com/prima-ankle-HSI1855EYLL.html
agjeans,Alexxis,VINTAGE STRAIGHT,"20,900.00","['23', '24', '25', '26', '27', '28', '29', '30', '31', '32']",JRN1979PARA,https://www.agjeans.com/alexxis-JRN1979PARA.html
